Geography,Time arriving a,Main mode of co,Total - Commuting duration
"Abbotsford - Mission (CMA) 932, B.C.",Total - Time arriving at work,"    Car, truck or van - as a driver",45655.0
"Abbotsford - Mission (CMA) 932, B.C.",Total - Time arriving at work,"    Car, truck or van - as a passenger",4575.0
"Abbotsford - Mission (CMA) 932, B.C.",Total - Time arriving at work,    Public transit,1340.0
"Abbotsford - Mission (CMA) 932, B.C.",Total - Time arriving at work,    Active transportation,2790.0
"Abbotsford - Mission (CMA) 932, B.C.",Total - Time arriving at work,"  Motorcycle, scooter or moped",115.0
0001.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",2180.0
0001.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",150.0
0001.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,15.0
0001.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,45.0
0001.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",20.0
0002.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",6125.0
0002.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",530.0
0002.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,90.0
0002.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,105.0
0002.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0003.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",860.0
0003.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",90.0
0003.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,60.0
0003.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,45.0
0003.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0004.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",440.0
0004.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0004.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0004.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,50.0
0004.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0005.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",2930.0
0005.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",125.0
0005.01 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,20.0
0005.01 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,105.0
0005.01 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0005.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",1470.0
0005.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",115.0
0005.02 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,40.0
0005.02 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,80.0
0005.02 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0006.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",6015.0
0006.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",585.0
0006.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,325.0
0006.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,500.0
0006.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0007.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",425.0
0007.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0007.01 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,10.0
0007.01 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,20.0
0007.01 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0007.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",330.0
0007.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0007.02 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,20.0
0007.02 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,40.0
0007.02 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0008.03 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",360.0
0008.03 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",50.0
0008.03 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,10.0
0008.03 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,50.0
0008.03 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0008.04 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",250.0
0008.04 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0008.04 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0008.04 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,25.0
0008.04 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0008.05 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",910.0
0008.05 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",205.0
0008.05 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,110.0
0008.05 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,50.0
0008.05 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0008.06 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",225.0
0008.06 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0008.06 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,30.0
0008.06 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,35.0
0008.06 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0009.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",240.0
0009.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0009.01 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,10.0
0009.01 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,30.0
0009.01 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0009.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",490.0
0009.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0009.02 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0009.02 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,15.0
0009.02 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0010.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",810.0
0010.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0010.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,15.0
0010.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,45.0
0010.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0011.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",695.0
0011.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",55.0
0011.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,15.0
0011.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,85.0
0011.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0012.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",285.0
0012.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0012.01 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0012.01 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,40.0
0012.01 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0012.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",140.0
0012.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0012.02 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,10.0
0012.02 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,25.0
0012.02 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0013.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",X
0013.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",X
0013.01 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,X
0013.01 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,X
0013.01 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",X
0013.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",860.0
